domain,n_questions,n_hallucinated,hall_rate_mean,hall_rate_std,mean_entropy,mean_refused,mean_illogical,pct_hallucinated
Physical Sciences,3,1,0.21052631578947367,0.36464227527765836,1.307309364953317,0.016666666666666666,0.0,33.3
Arts & Literature,147,14,0.13487480205114627,0.246661015791766,0.8350258192894492,0.009523809523809523,0.00510204081632653,9.5
Life Sciences,13,1,0.11742081447963801,0.27224413810069914,1.3054918513134337,0.0,0.0,7.7
History & Geography,105,9,0.11570412105462967,0.24608393805054743,0.7795102339249955,0.017142857142857144,0.0019047619047619048,8.6
General Knowledge,186,17,0.09758138494031833,0.22947557888155104,0.722198219714117,0.012634408602150538,0.011559139784946236,9.1
Computer Science & Engineering,3,0,0.06666666666666667,0.07637626158259733,0.5743371222168466,0.0,0.0,0.0
Politics & Law,22,0,0.0631762973868237,0.09909157533735867,1.0446850238816348,0.011363636363636364,0.018181818181818184,0.0
error,7,0,0.03007518796992481,0.07957146800194256,0.38876195883445286,0.0,0.0,0.0
Economics & Business,10,0,0.021374269005847952,0.03807473405392673,0.6694036706770434,0.0,0.005,0.0
Philosophy & Religion,3,0,0.0,0.0,0.41911585052113715,0.0,0.0,0.0
