Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.8621504804937565,0.010483707730464465
Entropy only (H_sem),Random Forest,0.8534408661120196,0.01258499452687211
Entropy only (H_sem),XGBoost,0.847135948273103,0.012161279135031811
"Geometry only (D_cos, M_bar)",Logistic Regression,0.8972246269701666,0.013615097058822372
"Geometry only (D_cos, M_bar)",Random Forest,0.9287401644799976,0.013329738652755439
"Geometry only (D_cos, M_bar)",XGBoost,0.9236757871472492,0.015159672853511101
Entropy + Geometry,Logistic Regression,0.9216606112869746,0.010730080005278406
Entropy + Geometry,Random Forest,0.946628336830786,0.010701320417498541
Entropy + Geometry,XGBoost,0.9457119797303818,0.010471541214429713
All 5 geometric,Logistic Regression,0.9200003975248674,0.010549495704810456
All 5 geometric,Random Forest,0.9492914185459203,0.009182028156986941
All 5 geometric,XGBoost,0.9461930504908267,0.008498479865360304
