Domain,Classifier,AUC_mean,AUC_std,n_questions
Humanities,Logistic Regression,0.9467117497886729,0.037186531262511584,193
Humanities,ElasticNet Logit,0.9484902789518175,0.03641128964060451,193
Humanities,Random Forest,0.9258360101437024,0.04342690736826738,193
Humanities,Gradient Boosting,0.9389687235841082,0.02918579590019128,193
Humanities,XGBoost,0.9296331360946745,0.035197868612083835,193
Medicine & Health,Logistic Regression,0.42857142857142855,0.14285714285714285,16
Medicine & Health,ElasticNet Logit,0.6428571428571428,0.07142857142857145,16
Medicine & Health,Random Forest,0.7142857142857142,0.14285714285714285,16
Medicine & Health,Gradient Boosting,0.39285714285714285,0.10714285714285715,16
Medicine & Health,XGBoost,0.5,0.0,16
STEM,Logistic Regression,0.8440517998244074,0.05300702370500443,137
STEM,ElasticNet Logit,0.8589771729587358,0.03808165057067603,137
STEM,Random Forest,0.6610513608428447,0.258066286215979,137
STEM,Gradient Boosting,0.49264705882352944,0.00735294117647059,137
STEM,XGBoost,0.8925043898156277,0.011907374890254618,137
Social Sciences,Logistic Regression,0.8052380952380952,0.10210261167402915,126
Social Sciences,ElasticNet Logit,0.809047619047619,0.10113191582825364,126
Social Sciences,Random Forest,0.8161904761904761,0.08549442702395402,126
Social Sciences,Gradient Boosting,0.7783333333333333,0.09480377156021176,126
Social Sciences,XGBoost,0.7740476190476191,0.06149313698041118,126
Sports,Logistic Regression,1.0,0.0,28
Sports,ElasticNet Logit,1.0,0.0,28
Sports,Random Forest,1.0,0.0,28
Sports,Gradient Boosting,0.8916666666666668,0.097182531580755,28
Sports,XGBoost,0.975,0.049999999999999996,28
