Variant,Classifier,AUC_mean,AUC_std
Geometry with M_bar,Logistic Regression,0.8666242659062066,0.013765432510916038
Geometry with M_bar,ElasticNet Logit,0.8667086186901074,0.013769417848857062
Geometry with M_bar,Random Forest,0.8683235607051014,0.011703994174843102
Geometry with M_bar,Gradient Boosting,0.8660913481241659,0.011509575822681771
Geometry with M_bar,XGBoost,0.8543787761492154,0.008539985964051734
Geometry without M_bar,Logistic Regression,0.8664736145928043,0.013906152993649619
Geometry without M_bar,ElasticNet Logit,0.8664898807578971,0.013943099569008414
Geometry without M_bar,Random Forest,0.8606033618626959,0.0130133555291836
Geometry without M_bar,Gradient Boosting,0.8560646829437868,0.012547423310892076
Geometry without M_bar,XGBoost,0.8501664237258684,0.014897889129224476
All 7 (with M_bar),Logistic Regression,0.8759662666376384,0.00989230018967973
All 7 (with M_bar),ElasticNet Logit,0.87611873300241,0.009967185677226703
All 7 (with M_bar),Random Forest,0.880670837372952,0.009989274224606649
All 7 (with M_bar),Gradient Boosting,0.877170769430131,0.007843459905419068
All 7 (with M_bar),XGBoost,0.8671384138354774,0.008201826869712147
All 6 (without M_bar),Logistic Regression,0.8744425541515763,0.010784871926659634
All 6 (without M_bar),ElasticNet Logit,0.8745366288876453,0.010850591898474295
All 6 (without M_bar),Random Forest,0.872548854760846,0.012238455540873654
All 6 (without M_bar),Gradient Boosting,0.8702514277303024,0.013114448631803622
All 6 (without M_bar),XGBoost,0.8573173041884221,0.01536438789851367
