Domain,Classifier,AUC_mean,AUC_std,n_questions
Humanities,Logistic Regression,0.966,0.04442971978304607,72
Humanities,ElasticNet Logit,0.97,0.03674234614174766,72
Humanities,Random Forest,0.969,0.030724582991474427,72
Humanities,Gradient Boosting,0.962,0.05455272678794343,72
Humanities,XGBoost,0.9460000000000001,0.08522910301065002,72
Law & Business,Logistic Regression,0.9384615384615385,0.08970695222838923,72
Law & Business,ElasticNet Logit,0.9615384615384615,0.0595843591724218,72
Law & Business,Random Forest,0.9653846153846153,0.06007884366082042,72
Law & Business,Gradient Boosting,0.862087912087912,0.18965517619932168,72
Law & Business,XGBoost,0.9087912087912088,0.14928885888124566,72
Medicine & Health,Logistic Regression,0.888888888888889,0.07657804862272347,55
Medicine & Health,ElasticNet Logit,0.9,0.07157832625958403,55
Medicine & Health,Random Forest,0.8277777777777778,0.16703662642636563,55
Medicine & Health,Gradient Boosting,0.9416666666666668,0.061111111111111095,55
Medicine & Health,XGBoost,0.8666666666666668,0.10153148268053927,55
STEM,Logistic Regression,0.9376811594202898,0.06749915042847408,153
STEM,ElasticNet Logit,0.9413561076604555,0.07198555604521475,153
STEM,Random Forest,0.9436335403726709,0.0643109224671335,153
STEM,Gradient Boosting,0.9266563146997928,0.07183317757851307,153
STEM,XGBoost,0.9261128364389235,0.06744536811091086,153
Social Sciences,Logistic Regression,0.9238095238095239,0.03870449118354243,145
Social Sciences,ElasticNet Logit,0.9306041784302655,0.04014891419942457,145
Social Sciences,Random Forest,0.8547148503670243,0.07742449498852808,145
Social Sciences,Gradient Boosting,0.8648974214191606,0.07143601295076832,145
Social Sciences,XGBoost,0.8463579898362508,0.08202064731503832,145
