Variant,Classifier,AUC_mean,AUC_std
Spectral only,Logistic Regression,0.8333909640327125,0.012771554073961196
Spectral only,ElasticNet Logit,0.8335434303974842,0.012653130509725156
Spectral only,Random Forest,0.8318434207097469,0.015549600294058502
Spectral only,Gradient Boosting,0.8348779853298438,0.01083156869275665
Spectral only,XGBoost,0.8245634493600447,0.010997743968160029
All 9 new,Logistic Regression,0.8672555187455601,0.012749485647339012
All 9 new,ElasticNet Logit,0.8673139223574017,0.0126055601164578
All 9 new,Random Forest,0.862767908338397,0.012396011049104793
All 9 new,Gradient Boosting,0.8524542643240853,0.0139701301665986
All 9 new,XGBoost,0.8422682373496674,0.011861091846376537
Full 15,Logistic Regression,0.876826472562142,0.011650512424455549
Full 15,ElasticNet Logit,0.8766967746344019,0.011943588921429759
Full 15,Random Forest,0.8700882223444439,0.011595459596648303
Full 15,Gradient Boosting,0.8625026063721407,0.011486601821559823
Full 15,XGBoost,0.8482436419664247,0.012620234389026807
Most significant,Logistic Regression,0.8752266017883125,0.012157031001951646
Most significant,ElasticNet Logit,0.8752201414573604,0.012223624194141908
Most significant,Random Forest,0.869306359738492,0.011904551862524865
Most significant,Gradient Boosting,0.8596105824512851,0.01408381660779389
Most significant,XGBoost,0.8494663289357705,0.01669608924876991
