Domain,Classifier,AUC_mean,AUC_std,n_questions
Entertainment,Logistic Regression,0.875,0.21650635094610965,12
Entertainment,ElasticNet Logit,0.875,0.21650635094610965,12
Entertainment,Random Forest,0.875,0.21650635094610965,12
Entertainment,Gradient Boosting,0.6875,0.3247595264191645,12
Entertainment,XGBoost,0.5,0.0,12
Humanities,Logistic Regression,0.9283359914938861,0.041003710817091005,201
Humanities,ElasticNet Logit,0.9288410419989367,0.04014809989423106,201
Humanities,Random Forest,0.9131085288980026,0.041458552010397935,201
Humanities,Gradient Boosting,0.9032163742690059,0.05507276653061862,201
Humanities,XGBoost,0.8904647983595352,0.05713248156196453,201
STEM,Logistic Regression,0.8412581699346404,0.06250165532431357,129
STEM,ElasticNet Logit,0.843954248366013,0.05963492676762961,129
STEM,Random Forest,0.8273692810457517,0.04738393055357809,129
STEM,Gradient Boosting,0.810049019607843,0.024356821038188373,129
STEM,XGBoost,0.8080065359477124,0.049591570565577635,129
Social Sciences,Logistic Regression,0.9539393939393939,0.03906153465290186,84
Social Sciences,ElasticNet Logit,0.9509090909090909,0.03830187953775749,84
Social Sciences,Random Forest,0.9145454545454544,0.04380439030204281,84
Social Sciences,Gradient Boosting,0.8927272727272728,0.06560028667992633,84
Social Sciences,XGBoost,0.9036363636363637,0.09842469025125768,84
Sports,Logistic Regression,0.8,0.2449489742783178,17
Sports,ElasticNet Logit,0.8,0.2449489742783178,17
Sports,Random Forest,0.775,0.27838821814150105,17
Sports,Gradient Boosting,0.625,0.31622776601683794,17
Sports,XGBoost,0.8,0.291547594742265,17
