Domain,Classifier,AUC_mean,AUC_std,n_questions
Humanities,Logistic Regression,0.924017543859649,0.04914393029548673,126
Humanities,Random Forest,0.9008245614035089,0.05758352291601215,126
Humanities,XGBoost,0.9223508771929824,0.04847512871599216,126
Law & Business,Logistic Regression,0.9199999999999999,0.11661903789690603,35
Law & Business,Random Forest,0.86,0.10677078252031312,35
Law & Business,XGBoost,0.9,0.08366600265340753,35
Medicine & Health,Logistic Regression,0.8345238095238094,0.14087916373797157,50
Medicine & Health,Random Forest,0.9095238095238096,0.07989505588363101,50
Medicine & Health,XGBoost,0.8845238095238095,0.07619047619047621,50
STEM,Logistic Regression,0.9489010989010989,0.020529166694801555,101
STEM,Random Forest,0.9516483516483516,0.028529131836806967,101
STEM,XGBoost,0.9406593406593409,0.04303990335728821,101
Social Sciences,Logistic Regression,0.9078148148148149,0.062473083367196286,169
Social Sciences,Random Forest,0.8971111111111112,0.08582382183905424,169
Social Sciences,XGBoost,0.8934074074074074,0.09195824185014682,169
