domain_canonical,n_questions,n_hallucinated,hall_rate_mean,hall_rate_std,mean_entropy,mean_frac_refused,pct_hallucinated,in_analysis
Science,2,2,0.75,0.28284271247461895,3.515311532204904,0.0,100.0,False
Other,5,4,0.7,0.4227883631321941,2.734895850829116,0.0,80.0,False
Literature,8,6,0.68125,0.42672967354721686,2.359712281029167,0.0,75.0,False
Entertainment,12,8,0.6625,0.432815833183752,1.9114473202359823,0.0,66.7,True
Sports,17,10,0.6323529411764706,0.4007575546974241,1.788989772556295,0.0,58.8,True
History,8,4,0.5875,0.4365039682359306,1.573061298411766,0.0,50.0,False
Law & Business,9,4,0.5388888888888889,0.35775146556109466,1.897724603285469,0.0,44.4,False
Language,3,2,0.5,0.3278719262151001,2.6366045035602057,0.0,66.7,False
Humanities,201,93,0.46987431264728985,0.43087642201553616,1.612782674919139,0.0002487562189054727,46.3,True
STEM,129,42,0.3577519379844961,0.400168402656302,1.2844437020192703,0.0,32.6,True
Social Sciences,84,29,0.35000000000000003,0.41179887475928345,1.2358870102877728,0.0,34.5,True
Geography,8,3,0.35,0.46136443605586125,1.0157295036778407,0.0,37.5,False
Medicine & Health,13,1,0.12692307692307692,0.2077813199570089,0.9518023710154573,0.0,7.7,True
Religion & Philosophy,1,0,0.05,,1.1883763717301792,0.0,0.0,False
