Variant,Classifier,AUC_mean,AUC_std
Entropy only (H_sem),Logistic Regression,0.7276785714285714,0.056424783042076716
Entropy only (H_sem),Random Forest,0.6402777777777777,0.07800461561346404
Entropy only (H_sem),XGBoost,0.6415674603174604,0.057050637943370376
"Geometry only (D_cos, M_bar)",Logistic Regression,0.9234623015873016,0.0317969891126326
"Geometry only (D_cos, M_bar)",Random Forest,0.9297123015873016,0.033438426781376845
"Geometry only (D_cos, M_bar)",XGBoost,0.9177083333333333,0.03754091997692023
Entropy + Geometry,Logistic Regression,0.9230654761904763,0.0322078573129032
Entropy + Geometry,Random Forest,0.9318948412698413,0.03661493873198739
Entropy + Geometry,XGBoost,0.9232142857142858,0.03760058055452454
All 5 geometric,Logistic Regression,0.9219742063492063,0.033818890060037785
All 5 geometric,Random Forest,0.9324900793650794,0.04362102159300412
All 5 geometric,XGBoost,0.9349206349206349,0.04303274805543824
All 5 + refused,Logistic Regression,0.9279265873015874,0.02975099006209678
All 5 + refused,Random Forest,0.9353670634920637,0.04173263390988143
All 5 + refused,XGBoost,0.9360119047619048,0.042275467772953414
